# Date,MeanSignal,SFNR,SSNV,SNR,PercDrift,PercFluct
2024/04/29,1196.196765625,217.95907796270552,58.304693750000006,156.6573820122761,0.8712990417438248,0.04838496217625576
2024/05/13,1211.2595468749998,218.5039636117516,67.47019374999999,147.46237844700104,0.6778410346760858,0.047603040017323774
2024/05/20,1188.4803125,215.51830358057828,54.189775,161.44824112564552,0.368983247039091,0.04332435892765957
2024/06/10,1182.093875,211.08855926522492,58.82734375,154.121187844621,0.3047564456018089,0.05001710050913447
2024/06/17,1175.3181718750002,211.54194975449298,54.481975000000006,159.23151589576594,0.4290329173137065,0.055211068362413254
2024/06/25,1183.1167812499998,214.21885307810862,59.352974999999994,153.56999432898655,0.3333451489020709,0.04690305229636634
2024/07/02,1164.4902187500002,211.9887338243352,65.279375,144.12783106628348,0.886382307810504,0.047342322669256955
2024/07/15,1182.9032343750002,211.48778223832247,64.7564,146.99679666208323,0.32649158371540843,0.04314314574381802
2024/07/29,1141.303140625,205.76432052448618,66.83359375,139.60584611445518,0.6245923667786959,0.04892173417546687
2024/08/05,1145.6846718749998,208.3423817031383,59.29324375,148.78614714463745,0.10950327857921197,0.04939414631325406
2024/08/12,1181.372984375,213.2145632066876,62.739974999999994,149.1471175606296,0.17147221503234605,0.04703339925884704
2024/08/19,1174.4585468750001,211.45952847401392,71.37599374999999,139.01498231920135,0.5576458872259901,0.0505750319116818
2024/09/03,1176.2665468750001,213.06411339305305,59.82540000000001,152.0767911659026,0.3603817053959123,0.04394305015965527
2024/09/09,1190.206890625,215.0482852069455,53.023975,163.45052477540887,0.3246019103331132,0.04835551865129904
2024/09/16,1191.326234375,213.63186928802813,62.440774999999995,150.76362221188415,0.13480946499176913,0.05043761099947111
2024/09/23,1159.58409375,208.37004929818482,55.963775,155.00608538985983,0.6879991078203535,0.04902079359487511
2024/09/30,1179.1320624999998,212.64504166109495,65.25999374999999,145.96170734753892,0.45094243148593915,0.049322711475724694
2024/10/07,1179.240328125,211.4790351908974,68.187775,142.80685773722757,0.2319698530244577,0.04755108108517801
2024/10/15,1209.5553125,218.0896724450111,59.04110000000001,157.41586970284936,0.2809964764180791,0.05112607717818381
2024/10/29,1161.6228281249998,209.56548566766511,61.77569374999999,147.79383637094136,0.73312243307939,0.04952271482440042
2024/11/06,1124.244671875,202.6684509444052,60.52610000000001,144.50720210758323,0.8877244082576199,0.050111373470656445
2024/11/11,1138.1113437499998,205.2461833288486,55.509493750000004,152.75699933573904,0.2596397303284139,0.04714956166246809
2024/11/18,1116.305703125,200.4824829949114,66.73474374999999,136.6492161826265,0.4818611796753616,0.05473770924187533
2024/11/27,1129.65765625,204.69256102448088,60.29109375,145.4856868815243,0.6461636987367282,0.052417130201823724
2024/12/03,1176.97003125,213.07281933384976,55.5559,157.90661033156982,0.34048806826169364,0.0515445819135041
2024/12/09,1142.3732499999999,205.90547731874102,63.184375,143.71535700822298,0.450234968021576,0.04577753960721774
2024/12/17,1181.065328125,212.09983490265586,59.80609375,152.72185895282374,0.47788224405666224,0.04825183291185158
2024/12/27,1174.6467031250002,214.29233488456222,55.967975,157.0136708598475,0.7283790457448238,0.04799257946962366
2025/01/02,1214.56875,220.01749685931588,74.281975,140.92251384739282,0.5669500541824997,0.04684398181377669
2025/01/06,1209.7815625,218.36522439721585,55.314975,162.66181024196013,0.05023011594919237,0.05068337900523127
2025/01/21,1220.04071875,220.41576338351618,63.59799374999999,152.98632689143142,0.3479247180051347,0.05183982105103896
2025/01/27,1161.111828125,209.96125434385823,61.627193749999996,147.90670191650605,0.21910006911855162,0.0474452522176662
2025/02/03,1173.306546875,209.72892436281248,61.038900000000005,150.17863227218757,0.0883158612750087,0.04769889835668548
2025/02/11,1121.504578125,200.77206117096424,54.34169375,152.1368659523582,0.214780965927702,0.04827742333967789
2025/02/17,1181.039484375,213.83934602436565,64.72484375,146.80096545864896,1.0135554189745977,0.05090828405726818
